,0,1,year
0,"August 11, 2022",29.39,2022
1,"July 15, 2022",14.55,2022
2,"July 15, 2022",34.70,2022
3,"July 13, 2022",135.11,2022
4,"July 13, 2022",53.55,2022
5,"July 12, 2022",0.00,2022
6,"June 25, 2022",66.92,2022
7,"June 12, 2022",44.08,2022
8,"June 8, 2022",41.08,2022
9,"June 8, 2022",26.99,2022
10,"June 2, 2022",113.23,2022
11,"June 1, 2022",8.79,2022
12,"May 23, 2022",26.63,2022
13,"May 22, 2022",15.74,2022
14,"May 18, 2022",19.90,2022
15,"May 8, 2022",50.39,2022
16,"May 1, 2022",37.58,2022
17,"April 30, 2022",20.99,2022
18,"April 17, 2022",10.70,2022
19,"April 13, 2022",20.99,2022
20,"March 19, 2022",7.88,2022
21,"March 19, 2022",86.09,2022
22,"January 23, 2022",17.31,2022
23,"January 23, 2022",13.43,2022
24,"January 18, 2022",13.64,2022
25,"January 14, 2022",79.99,2022
26,"January 9, 2022",0.27,2022
27,"December 27, 2021",0.00,2021
28,"December 27, 2021",0.00,2021
29,"December 5, 2021",15.42,2021
30,"December 5, 2021",14.09,2021
31,"November 29, 2021",28.00,2021
32,"November 28, 2021",33.34,2021
33,"November 26, 2021",56.04,2021
34,"November 20, 2021",11.50,2021
35,"November 20, 2021",46.15,2021
36,"November 12, 2021",19.88,2021
37,"November 12, 2021",36.73,2021
38,"November 9, 2021",12.62,2021
39,"November 9, 2021",28.34,2021
40,"November 8, 2021",27.29,2021
41,"November 4, 2021",40.72,2021
42,"November 3, 2021",38.84,2021
43,"November 3, 2021",12.59,2021
44,"November 3, 2021",17.36,2021
45,"November 3, 2021",20.87,2021
46,"October 18, 2021",104.99,2021
47,"September 19, 2021",13.70,2021
48,"August 23, 2021",9.82,2021
49,"August 22, 2021",29.01,2021
50,"August 21, 2021",30.58,2021
51,"August 8, 2021",1.04,2021
52,"July 26, 2021",36.72,2021
53,"July 25, 2021",13.22,2021
54,"July 18, 2021",24.14,2021
55,"July 11, 2021",30.58,2021
56,"July 1, 2021",12.31,2021
57,"July 1, 2021",17.22,2021
58,"June 27, 2021",72.73,2021
59,"June 16, 2021",0.00,2021
60,"June 12, 2021",0.00,2021
61,"May 28, 2021",3.14,2021
62,"May 22, 2021",40.92,2021
63,"May 13, 2021",125.15,2021
64,"May 8, 2021",17.92,2021
65,"April 29, 2021",0.67,2021
66,"April 29, 2021",0.00,2021
67,"April 26, 2021",64.99,2021
68,"April 18, 2021",9.95,2021
69,"April 4, 2021",18.69,2021
70,"April 1, 2021",44.80,2021
71,"March 20, 2021",24.64,2021
72,"March 20, 2021",14.34,2021
73,"March 10, 2021",10.27,2021
74,"February 3, 2021",11.58,2021
75,"February 3, 2021",9.99,2021
76,"December 27, 2020",16.94,2020
77,"December 15, 2020",14.99,2020
78,"November 16, 2020",67.59,2020
79,"November 16, 2020",31.98,2020
80,"November 13, 2020",29.69,2020
81,"October 29, 2020",16.79,2020
82,"October 15, 2020",12.99,2020
83,"October 6, 2020",14.69,2020
84,"October 3, 2020",16.79,2020
85,"September 25, 2020",15.74,2020
86,"September 3, 2020",70.77,2020
87,"September 3, 2020",34.71,2020
88,"August 23, 2020",14.99,2020
89,"August 5, 2020",61.99,2020
90,"July 16, 2020",13.99,2020
91,"July 7, 2020",75.99,2020
92,"June 2, 2020",8.99,2020
93,"May 8, 2020",14.97,2020
94,"May 6, 2020",33.11,2020
95,"April 25, 2020",60.15,2020
96,"April 22, 2020",27.95,2020
97,"April 21, 2020",3.91,2020
98,"March 22, 2020",49.98,2020
99,"March 20, 2020",41.44,2020
100,"March 20, 2020",29.12,2020
101,"March 17, 2020",16.99,2020
102,"March 17, 2020",45.90,2020
103,"February 5, 2020",14.69,2020
104,"January 14, 2020",13.59,2020
105,"January 14, 2020",5.70,2020
106,"January 14, 2020",18.99,2020
107,"December 8, 2019",21.99,2019
108,"November 10, 2019",47.40,2019
109,"November 7, 2019",18.49,2019
110,"October 21, 2019",29.33,2019
111,"October 16, 2019",22.95,2019
112,"October 16, 2019",79.99,2019
113,"October 13, 2019",38.63,2019
114,"October 13, 2019",40.91,2019
115,"October 6, 2019",15.67,2019
116,"September 10, 2019",11.19,2019
117,"September 6, 2019",36.89,2019
118,"September 2, 2019",34.99,2019
119,"August 22, 2019",36.95,2019
120,"August 21, 2019",37.69,2019
121,"August 9, 2019",46.74,2019
122,"August 6, 2019",25.05,2019
123,"July 22, 2019",15.98,2019
124,"July 21, 2019",19.94,2019
125,"July 21, 2019",18.46,2019
126,"July 19, 2019",11.75,2019
127,"December 29, 2018",22.99,2018
128,"December 28, 2018",163.99,2018
